Iteration: 00000330/00170000  content_loss:0.0000  lap_loss:0.0509  rec_loss:0.0434  style_loss:1.6060  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000340/00170000  content_loss:0.0000  lap_loss:0.0817  rec_loss:0.0493  style_loss:1.9411  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000350/00170000  content_loss:0.0000  lap_loss:0.0312  rec_loss:0.0193  style_loss:1.0142  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000360/00170000  content_loss:0.0000  lap_loss:0.2539  rec_loss:0.1048  style_loss:3.4221  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000370/00170000  content_loss:0.0000  lap_loss:0.0395  rec_loss:0.0196  style_loss:1.4223  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000380/00170000  content_loss:0.0000  lap_loss:0.1076  rec_loss:0.0702  style_loss:1.7070  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000390/00170000  content_loss:0.0000  lap_loss:0.1125  rec_loss:0.0638  style_loss:1.9918  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000400/00170000  content_loss:0.0000  lap_loss:0.0498  rec_loss:0.0524  style_loss:1.6153  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000410/00170000  content_loss:0.0000  lap_loss:0.0337  rec_loss:0.0172  style_loss:0.9319  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000420/00170000  content_loss:0.0000  lap_loss:0.0430  rec_loss:0.0337  style_loss:0.9950  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000430/00170000  content_loss:0.0000  lap_loss:0.0561  rec_loss:0.0332  style_loss:1.7996  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000440/00170000  content_loss:0.0000  lap_loss:0.0597  rec_loss:0.0260  style_loss:1.2929  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000450/00170000  content_loss:0.0000  lap_loss:0.1530  rec_loss:0.0456  style_loss:2.2949  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000460/00170000  content_loss:0.0000  lap_loss:0.0328  rec_loss:0.0241  style_loss:0.8768  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000470/00170000  content_loss:0.0000  lap_loss:0.0341  rec_loss:0.0567  style_loss:1.5638  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000480/00170000  content_loss:0.0000  lap_loss:0.0970  rec_loss:0.0438  style_loss:1.4354  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000490/00170000  content_loss:0.0000  lap_loss:0.0528  rec_loss:0.0461  style_loss:1.1435  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000500/00170000  content_loss:0.0000  lap_loss:0.0526  rec_loss:0.0486  style_loss:1.0587  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000510/00170000  content_loss:0.0000  lap_loss:0.0265  rec_loss:0.0255  style_loss:1.3477  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000520/00170000  content_loss:0.0000  lap_loss:0.0152  rec_loss:0.0238  style_loss:1.0677  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000530/00170000  content_loss:0.0000  lap_loss:0.1103  rec_loss:0.0302  style_loss:2.2144  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000540/00170000  content_loss:0.0000  lap_loss:0.0355  rec_loss:0.0322  style_loss:1.3932  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000550/00170000  content_loss:0.0000  lap_loss:0.0672  rec_loss:0.0328  style_loss:1.4416  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000560/00170000  content_loss:0.0000  lap_loss:0.0568  rec_loss:0.0207  style_loss:0.9065  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000570/00170000  content_loss:0.0000  lap_loss:0.0412  rec_loss:0.0340  style_loss:1.2673  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000580/00170000  content_loss:0.0000  lap_loss:0.0456  rec_loss:0.0199  style_loss:1.0542  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000590/00170000  content_loss:0.0000  lap_loss:0.0516  rec_loss:0.0337  style_loss:1.4289  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000600/00170000  content_loss:0.0000  lap_loss:0.0803  rec_loss:0.0826  style_loss:1.5295  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000610/00170000  content_loss:0.0000  lap_loss:0.0720  rec_loss:0.0770  style_loss:1.6810  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000620/00170000  content_loss:0.0000  lap_loss:0.0508  rec_loss:0.0403  style_loss:1.1642  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000630/00170000  content_loss:0.0000  lap_loss:0.0326  rec_loss:0.0341  style_loss:1.3298  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000640/00170000  content_loss:0.0000  lap_loss:0.0775  rec_loss:0.0533  style_loss:1.7204  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000650/00170000  content_loss:0.0000  lap_loss:0.0913  rec_loss:0.0546  style_loss:2.2356  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000660/00170000  content_loss:0.0000  lap_loss:0.0423  rec_loss:0.0430  style_loss:1.1426  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000670/00170000  content_loss:0.0000  lap_loss:0.1451  rec_loss:0.0678  style_loss:1.9732  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000680/00170000  content_loss:0.0000  lap_loss:0.0711  rec_loss:0.0438  style_loss:1.8435  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000690/00170000  content_loss:0.0000  lap_loss:0.1001  rec_loss:0.0348  style_loss:1.0280  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000700/00170000  content_loss:0.0000  lap_loss:0.0638  rec_loss:0.0467  style_loss:1.1823  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000710/00170000  content_loss:0.0000  lap_loss:0.0427  rec_loss:0.0507  style_loss:1.0080  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000720/00170000  content_loss:0.0000  lap_loss:0.0674  rec_loss:0.0410  style_loss:1.6306  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000730/00170000  content_loss:0.0000  lap_loss:0.0154  rec_loss:0.0253  style_loss:0.5993  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000740/00170000  content_loss:0.0000  lap_loss:0.0179  rec_loss:0.0351  style_loss:0.7529  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000750/00170000  content_loss:0.0000  lap_loss:0.0178  rec_loss:0.0294  style_loss:0.5669  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000760/00170000  content_loss:0.0000  lap_loss:0.0546  rec_loss:0.0396  style_loss:0.8437  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000770/00170000  content_loss:0.0000  lap_loss:0.0203  rec_loss:0.0319  style_loss:0.4384  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000780/00170000  content_loss:0.0000  lap_loss:0.0933  rec_loss:0.0740  style_loss:1.2982  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000790/00170000  content_loss:0.0000  lap_loss:0.0247  rec_loss:0.0319  style_loss:0.6190  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000800/00170000  content_loss:0.0000  lap_loss:0.0644  rec_loss:0.0549  style_loss:0.6842  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000810/00170000  content_loss:0.0000  lap_loss:0.0817  rec_loss:0.0607  style_loss:1.4323  loss_tmp:0.0000  loss_tmp_GT:0.0000
